apple,A round fruit with red or green skin and a whitish interior typically eaten raw
banana,A long curved fruit with yellow skin and soft sweet white flesh inside
cherry,A small round fruit that is typically red or black with a pit in the center
dog,A domesticated carnivorous mammal with a bark typically kept as a pet or for work
elephant,A large herbivorous mammal with a trunk native to Africa and Asia
flower,The reproductive structure in flowering plants often colorful and fragrant
guitar,A musical instrument with six strings played by plucking or strumming
house,A building for human habitation typically consisting of rooms and a roof
internet,A global computer network providing a variety of information and communication facilities
jacket,A piece of clothing worn on the upper body typically with sleeves for warmth
kangaroo,A large marsupial from Australia known for its powerful hind legs and jumping ability
laptop,A portable computer that can be used on one's lap or a surface
mountain,A large natural elevation of the earth's surface typically with a peak
notebook,A small book with blank pages used for writing or drawing
orange,A round fruit with a tough bright orange skin and juicy segmented fleshpencil
queen,The female ruler of an independent state typically one with a monarchy
river,A large flowing body of water that usually empties into a sea or ocean
sunshine,The light and warmth that come from the sun
table,A flat surface with legs typically used for eating working or writing
airplane,A powered flying vehicle with fixed wings and a weight greater than that of the air it displaces
balloon,A flexible bag that can be inflated with air or gas typically made of rubber or a similar material
cat,A small domesticated carnivorous mammal with a soft coat a short snout and retractile claws
doghouse,A small shelter or enclosure for a dog
engine,A machine for converting energy into mechanical force or motion often used to power vehicles
flowerpot,A container used for growing plants typically made of clay plastic or ceramic
grape,A small round smooth-skinned fruit that typically grows in clusters and is used for making wine
honey,A sweet sticky substance produced by bees from flower nectar and used as a sweetener
ice,Frozen water a solid form of H2O typically used to cool drinks or for various cooling applications
jungle,A dense tropical forest with a lot of vegetation and wildlife
key,A small device used to open locks or start machines
lemon,A sour yellow fruit that is used in cooking and as a flavoring or garnish
mango,A tropical fruit with a large pit and sweet juicy flesh
night,The time between sunset and sunrise when it is dark outside
ocean,A vast body of saltwater that covers most of the Earth's surface and separates continents
piano,A large musical instrument with a keyboard played by pressing keys that strike strings inside the instrument
quilt,A warm bed covering made of padding enclosed between layers of fabric
rocket,A vehicle or device propelled by the expulsion of gases or liquids used for space travel or military purposes
star,A luminous point in the night sky that is a large remote incandescent body like the sun
tree,A tall plant with a trunk branches and leaves typically growing to a considerable height
